text	frequency
的	0.061659500186148221
是	0.014791083881682071
在	0.014454397707459272
了	0.013803842646028845
我	0.0089125093813374589
00	0.00776247116628692
和	0.0072443596007498983
有	0.0067608297539198184
不	0.0057543993733715666
人	0.0054954087385762481
0000	0.005370317963702527
也	0.0050118723362727246
你	0.0050118723362727246
为	0.004897788193684461
他	0.0047863009232263854
这	0.0047863009232263854
中	0.0044668359215096305
与	0.004365158322401661
年	0.004365158322401661
对	0.0042657951880159259
就	0.0039810717055349734
都	0.0038904514499428049
一个	0.003630780547701014
上	0.0035481338923357532
说	0.0035481338923357532
吗	0.0033884415613920239
我们	0.0033884415613920239
000	0.0030902954325135921
会	0.0030199517204020161
到	0.0030199517204020161
要	0.0028840315031266055
来	0.0028183829312644548
中国	0.002754228703338166
月	0.002754228703338166
被	0.0026302679918953813
他们	0.0025118864315095794
没有	0.0023988329190194899
还	0.0023988329190194899
而	0.0022908676527677724
个	0.0022387211385683399
可以	0.0021877616239495521
后	0.0021379620895022326
等	0.0021379620895022326
但	0.0020892961308540386
于	0.0020417379446695297
什么	0.0019952623149688789
日	0.0019952623149688789
这个	0.0019952623149688789
将	0.0019498445997580456
并	0.0019498445997580456
能	0.0019498445997580456
一	0.0018620871366628676
很	0.0018620871366628676
让	0.0018197008586099826
从	0.0017782794100389228
国家	0.0017782794100389228
以	0.0017378008287493763
好	0.0017378008287493763
大	0.0016982436524617442
她	0.0016982436524617442
着	0.0016595869074375613
多	0.0016218100973589297
自己	0.0015848931924611141
问题	0.0015488166189124811
时	0.0015135612484362087
给	0.0015135612484362087
把	0.0014791083881682072
去	0.001445439770745928
看	0.001445439770745928
又	0.0013803842646028853
美国	0.0013803842646028853
或	0.0013182567385564075
因为	0.0012882495516931337
下	0.0012589254117941675
不是	0.0012589254117941675
之	0.0012589254117941675
现在	0.0012589254117941675
过	0.0012589254117941675
新	0.0012302687708123812
里	0.0012302687708123812
做	0.001202264434617413
及	0.001202264434617413
地	0.001202264434617413
由	0.001202264434617413
3	0.0011748975549395291
怎么	0.0011748975549395291
没	0.0011748975549395291
用	0.0011748975549395291
就是	0.0011481536214968829
已经	0.0011481536214968829
更	0.0011481536214968829
这些	0.001122018454301963
1	0.0010964781961431851
得	0.0010964781961431851
所	0.0010964781961431851
发展	0.001071519305237606
开始	0.001071519305237606
想	0.001071519305237606
最	0.001071519305237606
这样	0.001071519305237606
公司	0.0010471285480508996
它	0.0010471285480508996
政府	0.0010471285480508996
可能	0.0010232929922807535
那	0.0010232929922807535
2	0.001
工作	0.0009772372209558111
社会	0.0009772372209558111
三	0.00095499258602143591
可	0.00095499258602143591
吧	0.00095499258602143591
如果	0.00093325430079699149
知道	0.00093325430079699149
进行	0.00093325430079699149
世界	0.00091201083935590964
其	0.00091201083935590964
日本	0.00091201083935590964
该	0.00091201083935590964
5	0.00089125093813374593
不能	0.0008709635899560805
只	0.0008709635899560805
向	0.0008709635899560805
计划	0.0008709635899560805
前	0.00085113803820237679
成为	0.00085113803820237679
时间	0.00085113803820237679
认为	0.00085113803820237679
需要	0.00085113803820237679
出	0.00083176377110267088
啊	0.00083176377110267088
已	0.00083176377110267088
再	0.00077624711662869193
国际	0.00077624711662869193
地区	0.00077624711662869193
小	0.00077624711662869193
当	0.00077624711662869193
时候	0.00077624711662869193
们	0.00075857757502918353
内	0.00075857757502918353
却	0.00075857757502918353
使用	0.00074131024130091774
才	0.00074131024130091774
经济	0.00074131024130091774
活动	0.00072443596007498983
爱	0.00072443596007498983
但是	0.00070794578438413802
历史	0.00070794578438413802
应该	0.00070794578438413802
政治	0.00070794578438413802
第	0.00070794578438413802
谁	0.00070794578438413802
4	0.00069183097091893623
不会	0.00069183097091893623
以及	0.00069183097091893623
情况	0.00069183097091893623
真的	0.00069183097091893623
组织	0.00069183097091893623
8	0.00067608297539198186
人民	0.00067608297539198186
其他	0.00067608297539198186
发生	0.00067608297539198186
主要	0.00066069344800759571
号	0.00066069344800759571
地方	0.00066069344800759571
网站	0.00066069344800759571
香港	0.00066069344800759571
生活	0.00064565422903465556
这种	0.00064565422903465556
你们	0.00063095734448019298
通过	0.00063095734448019298
为了	0.00061659500186148227
事	0.00061659500186148227
同时	0.00061659500186148227
必须	0.00061659500186148227
快	0.00061659500186148227
所以	0.00060255958607435746
所有	0.00060255958607435746
比	0.00060255958607435746
跟	0.00060255958607435746
包括	0.00058884365535558894
发现	0.00058884365535558894
请	0.00058884365535558894
还有	0.00058884365535558894
长	0.00058884365535558894
一些	0.00057543993733715664
为什么	0.00057543993733715664
全国	0.00057543993733715664
决定	0.00057543993733715664
出现	0.00057543993733715664
呢	0.00057543993733715664
如何	0.00057543993733715664
还是	0.00057543993733715664
a	0.0005623413251903491
一样	0.0005623413251903491
企业	0.0005623413251903491
其中	0.0005623413251903491
北京	0.0005623413251903491
觉得	0.0005623413251903491
重要	0.0005623413251903491
高	0.0005623413251903491
6	0.00054954087385762477
影响	0.00054954087385762477
the	0.00053703179637025272
则	0.00053703179637025272
喜欢	0.00053703179637025272
文化	0.00053703179637025272
起来	0.00053703179637025272
不过	0.00052480746024977283
作为	0.00052480746024977283
学生	0.00052480746024977283
希望	0.00052480746024977283
技术	0.00052480746024977283
提供	0.00052480746024977283
至	0.00052480746024977283
要求	0.00052480746024977283
那么	0.00052480746024977283
钱	0.00052480746024977283
7	0.00051286138399136484
一定	0.00051286138399136484
不同	0.00051286138399136484
电影	0.00051286138399136484
万	0.00050118723362727253
不要	0.00050118723362727253
使	0.00050118723362727253
像	0.00050118723362727253
点	0.00050118723362727253
关系	0.0004897788193684461
只是	0.0004897788193684461
听	0.0004897788193684461
研究	0.0004897788193684461
这么	0.0004897788193684461
出来	0.00047863009232263854
根据	0.00047863009232263854
此	0.00047863009232263854
系统	0.00047863009232263854
起	0.00047863009232263854
两	0.00046773514128719813
任何	0.00046773514128719813
只有	0.00046773514128719813
服务	0.00046773514128719813
结果	0.00046773514128719813
自	0.00046773514128719813
这里	0.00046773514128719813
一起	0.0004570881896148752
因此	0.0004570881896148752
国	0.0004570881896148752
如	0.0004570881896148752
带	0.0004570881896148752
游戏	0.0004570881896148752
看到	0.0004570881896148752
虽然	0.0004570881896148752
走	0.0004570881896148752
9	0.00044668359215096305
中心	0.00044668359215096305
人们	0.00044668359215096305
今天	0.00044668359215096305
代表	0.00044668359215096305
吃	0.00044668359215096305
岁	0.00044668359215096305
支持	0.00044668359215096305
无	0.00044668359215096305
而且	0.00044668359215096305
话	0.00044668359215096305
较	0.00044668359215096305
一直	0.00043651583224016611
么	0.00043651583224016611
区	0.00043651583224016611
城市	0.00043651583224016611
太	0.00043651583224016611
家	0.00043651583224016611
市场	0.00043651583224016611
最后	0.00043651583224016611
约	0.00043651583224016611
继续	0.00043651583224016611
者	0.00043651583224016611
东西	0.00042657951880159257
之后	0.00042657951880159257
内容	0.00042657951880159257
对于	0.00042657951880159257
开	0.00042657951880159257
教育	0.00042657951880159257
特别	0.00042657951880159257
由于	0.00042657951880159257
获得	0.00042657951880159257
许多	0.00042657951880159257
问	0.00042657951880159257
两个	0.00041686938347033551
大学	0.00041686938347033551
学校	0.00041686938347033551
方式	0.00041686938347033551
朋友	0.00041686938347033551
目前	0.00041686938347033551
站	0.00041686938347033551
表示	0.00041686938347033551
资料	0.00041686938347033551
这是	0.00041686938347033551
一种	0.00040738027780411261
元	0.00040738027780411261
关于	0.00040738027780411261
写	0.00040738027780411261
因	0.00040738027780411261
孩子	0.00040738027780411261
安全	0.00040738027780411261
成	0.00040738027780411261
大家	0.00039810717055349735
打	0.00039810717055349735
运动	0.00039810717055349735
部分	0.00039810717055349735
分	0.0003890451449942805
很多	0.0003890451449942805
死	0.0003890451449942805
见	0.0003890451449942805
非常	0.0003890451449942805
买	0.00038018939632056124
叫	0.00038018939632056124
台湾	0.00038018939632056124
图	0.00038018939632056124
建设	0.00038018939632056124
新闻	0.00038018939632056124
曾	0.00038018939632056124
有人	0.00038018939632056124
自由	0.00038018939632056124
参加	0.00037153522909717243
当时	0.00037153522909717243
